episode,num_iters,sum_rewards,curr_eps,time
169,1125,-21,0.816585,8858.748113
170,1105,-20,0.815590,8912.444155
171,1113,-20,0.814588,8960.544613
172,1205,-20,0.813504,9012.627179
173,1204,-21,0.812420,9062.396919
174,1246,-20,0.811299,9118.615861
175,1066,-21,0.810339,9162.821396
176,1157,-20,0.809298,9220.384521
177,1110,-21,0.808299,9269.582213
178,1422,-20,0.807019,9330.660789
179,1136,-21,0.805997,9377.613780
180,1359,-20,0.804774,9438.311451
181,1388,-19,0.803525,9498.426719
182,1124,-20,0.802513,9548.771827
183,1210,-20,0.801424,9601.868394
184,1168,-20,0.800373,9653.027650
185,1199,-21,0.799294,9702.360899
186,1193,-21,0.798220,9751.013706
187,1143,-21,0.797191,9801.804675
188,1187,-21,0.796123,9853.811928
189,1122,-20,0.795113,9898.907355
190,1034,-21,0.794183,9951.698039
191,1205,-20,0.793098,10011.261332
192,1207,-20,0.792012,10069.408867
193,1261,-20,0.790877,10127.279077
194,1128,-20,0.789862,10178.131131
195,1066,-21,0.788902,10226.162893
196,1112,-21,0.787902,10277.441156
197,1152,-20,0.786865,10331.843059
198,1105,-21,0.785870,10382.118460
199,1124,-20,0.784859,10437.586231
200,1262,-21,0.783723,10497.163270
201,1193,-21,0.782649,10551.086881
202,1115,-21,0.781646,10603.474570
203,1100,-21,0.780656,10657.370370
204,1244,-21,0.779536,10711.798416
205,1365,-20,0.778307,10772.077711
206,1128,-20,0.777292,10824.137368
207,1099,-21,0.776303,10874.898828
208,1146,-21,0.775272,10928.026899
209,1212,-21,0.774181,10981.859489
210,1079,-21,0.773210,11030.853573
211,1101,-21,0.772219,11080.386886
212,1093,-21,0.771235,11132.830490
213,1055,-21,0.770286,11183.137888
214,1107,-21,0.769289,11236.280503
215,1185,-21,0.768223,11291.501089
216,1326,-20,0.767030,11355.283193
217,1102,-21,0.766038,11408.007939
218,1060,-21,0.765084,11450.331614
219,1127,-20,0.764069,11506.667847
220,1051,-21,0.763124,11550.995834
221,1100,-21,0.762134,11601.181578
222,1138,-20,0.761109,11655.278420
223,1205,-20,0.760025,11707.763564
224,1096,-21,0.759038,11754.936237
225,1418,-21,0.757762,11813.783451
226,1187,-21,0.756694,11858.676234
227,1245,-21,0.755574,11914.521913
228,1034,-21,0.754643,11959.677956
229,1124,-20,0.753631,12002.047844
230,1125,-20,0.752619,12054.281450
231,1088,-21,0.751640,12103.653589
232,1177,-21,0.750580,12154.594294
233,1102,-21,0.749588,12207.309534
234,1094,-21,0.748604,12258.413397
235,1169,-20,0.747552,12315.195358
236,1305,-19,0.746377,12374.592773
237,1157,-21,0.745336,12430.021705
238,1116,-21,0.744332,12484.004691
239,1064,-21,0.743374,12535.039992
240,1132,-20,0.742355,12585.967630
241,1182,-21,0.741291,12635.377061
242,1115,-20,0.740288,12686.928204
243,1104,-21,0.739294,12742.187133
244,1137,-21,0.738271,12796.797803
245,1057,-21,0.737320,12845.667856
246,1231,-21,0.736212,12903.250346
247,1442,-20,0.734914,12966.698461
248,1263,-21,0.733777,13021.028487
249,1182,-21,0.732714,13072.592856
250,1098,-21,0.731725,13122.836805
251,1401,-20,0.730464,13182.722313
252,1052,-21,0.729518,13233.668820
253,1258,-20,0.728385,13286.656885
254,1102,-21,0.727394,13336.567013
255,1155,-21,0.726354,13387.932459
256,1103,-21,0.725361,13434.718645
257,1050,-21,0.724416,13480.108500
258,1070,-21,0.723453,13522.659188
259,1091,-21,0.722471,13567.068634
260,1095,-21,0.721486,13612.379188
261,1111,-21,0.720486,13661.576780
262,1126,-21,0.719473,13717.606177
263,1185,-21,0.718406,13776.732521
264,1098,-20,0.717418,13823.747195
265,1179,-21,0.716357,13878.201069
266,1191,-21,0.715285,13938.027989
267,1114,-20,0.714282,13989.646353
268,1111,-20,0.713283,14044.277942
269,1091,-21,0.712301,14095.343873
270,1254,-19,0.711172,14153.278169
271,1131,-21,0.710154,14202.661347
272,1267,-21,0.709014,14261.870275
273,1102,-21,0.708022,14311.576599
274,1102,-21,0.707030,14360.636830
275,1047,-21,0.706088,14406.504823
276,1056,-21,0.705137,14456.914736
277,1115,-20,0.704134,14506.393789
278,1133,-20,0.703114,14558.233374
279,1146,-21,0.702083,14610.652132
280,1109,-21,0.701085,14657.069527
281,1124,-21,0.700073,14709.613292
282,1121,-21,0.699064,14758.117041
283,1099,-21,0.698075,14804.624590
284,1114,-20,0.697073,14850.987070
285,1278,-20,0.695922,14906.276535
286,1277,-21,0.694773,14963.827406
287,1110,-21,0.693774,15015.270818
288,1264,-21,0.692636,15075.966662
289,1101,-21,0.691646,15130.135097
290,1103,-21,0.690653,15185.957345
291,1055,-21,0.689703,15233.515598
292,1324,-20,0.688512,15296.389203
293,1108,-21,0.687515,15350.830092
294,1071,-21,0.686551,15398.037825
295,1142,-21,0.685523,15454.390165
296,1108,-21,0.684526,15506.545578
297,1114,-20,0.683523,15557.265255
298,1124,-20,0.682511,15614.050724
299,1043,-21,0.681573,15660.060988
300,1108,-21,0.680576,15707.069283
301,1171,-21,0.679522,15757.815651
302,1093,-21,0.678538,15812.798095
303,1113,-21,0.677536,15865.220932
304,1035,-21,0.676605,15914.948154
305,1044,-21,0.675665,15969.275925
306,1264,-21,0.674528,16034.311156
307,1197,-20,0.673450,16092.638722
308,1056,-21,0.672500,16144.295878
309,1162,-21,0.671454,16199.119764
310,1184,-21,0.670389,16252.352316
311,1388,-21,0.669139,16321.899236
312,1137,-21,0.668116,16373.728759
313,1130,-20,0.667099,16432.705748
314,1115,-20,0.666095,16491.795839
315,1081,-21,0.665123,16545.369594
316,1199,-20,0.664044,16600.956027
317,1108,-21,0.663046,16651.703055
318,1041,-21,0.662109,16702.213420
319,1118,-20,0.661103,16755.739028
320,1218,-20,0.660007,16811.335372
321,1061,-21,0.659052,16860.094380
322,1046,-21,0.658111,16908.670819
323,1178,-21,0.657050,16968.196812
