episode,num_iters,loss,sum_rewards,curr_eps,debug_param,time
1,1422,0.018202,-18,0.999290,15959,181.123335
2,1462,0.016326,-19,0.998559,28774,321.640782
3,1321,0.016574,-21,0.997898,40961,458.523444
4,1209,0.018626,-20,0.997294,51960,580.101880
5,1126,0.019115,-21,0.996730,62313,695.787753
6,1160,0.018440,-21,0.996151,73129,815.418194
7,1423,0.016471,-19,0.995439,90618,1008.809499
8,1236,0.017205,-21,0.994821,105149,1169.928180
9,1258,0.016789,-21,0.994192,117837,1311.296790
10,1084,0.019528,-21,0.993650,128421,1426.242954
11,1220,0.018167,-20,0.993040,140856,1559.458154
12,1268,0.017531,-20,0.992406,156172,1737.227218
13,1019,0.020584,-21,0.991896,167974,1870.347167
14,1126,0.018672,-21,0.991333,182910,2037.543456
15,1221,0.017224,-21,0.990723,198857,2218.676285
16,1467,0.016533,-18,0.989989,220061,2459.385022
17,1233,0.017131,-21,0.989373,236031,2637.698633
18,1235,0.017886,-20,0.988756,251977,2824.983058
19,1061,0.019751,-21,0.988225,264342,2966.362145
20,1249,0.017773,-20,0.987600,280296,3150.877821
21,1172,0.017746,-21,0.987015,295264,3321.405965
22,1102,0.018981,-21,0.986464,310146,3488.446446
23,1434,0.016080,-19,0.985746,327301,3688.653255
24,1551,0.016054,-17,0.984971,346122,3902.928279
25,1339,0.015790,-21,0.984302,364017,4105.891299
26,1372,0.016752,-19,0.983615,381372,4315.462758
27,1354,0.017123,-19,0.982939,396392,4496.676715
28,1320,0.016551,-20,0.982279,409185,4651.879622
29,1046,0.019779,-21,0.981756,419637,4783.012069
30,1350,0.016725,-19,0.981081,435918,4984.101029
31,1342,0.016073,-20,0.980410,452482,5194.017746
32,1095,0.018979,-21,0.979862,467114,5379.737893
33,1238,0.017042,-21,0.979243,482850,5584.961410
34,1269,0.017254,-20,0.978608,497863,5783.782386
35,1291,0.017011,-20,0.977963,515552,6013.113477
36,1359,0.015854,-20,0.977283,532533,6237.108316
37,1413,0.016116,-19,0.976577,551721,6487.057215
38,1303,0.017360,-19,0.975926,566893,6693.099606
39,1092,0.018546,-21,0.975379,579039,6855.626721
40,1220,0.017125,-21,0.974769,593125,7042.174815
41,1123,0.019097,-20,0.974208,607458,7230.350317
42,1250,0.017414,-20,0.973583,622250,7429.386236
43,1241,0.016705,-21,0.972962,636261,7618.427434
44,1383,0.015897,-20,0.972271,650513,7808.454295
45,1473,0.014483,-20,0.971534,667521,8037.245985
46,1121,0.019079,-20,0.970974,678619,8181.854808
47,1411,0.015513,-19,0.970268,693622,8387.348186
48,1089,0.018670,-21,0.969724,706547,8563.463049
49,1369,0.015284,-21,0.969040,721922,8773.508783
50,1205,0.017376,-20,0.968437,734544,8945.484900
51,1448,0.014723,-20,0.967713,750078,9156.999145
52,1195,0.017925,-20,0.967116,765579,9365.837346
53,1200,0.017989,-20,0.966515,779387,9554.149767
54,1020,0.019372,-21,0.966005,790488,9706.155440
55,1194,0.017656,-20,0.965409,802274,9861.279286
56,1531,0.014159,-20,0.964643,818069,10072.101504
57,1461,0.015121,-20,0.963912,832905,10276.421491
58,1276,0.016923,-20,0.963275,848112,10486.627435
59,1089,0.018281,-21,0.962730,859929,10652.488557
60,1173,0.018632,-20,0.962144,873793,10847.278516
61,1283,0.016299,-21,0.961502,890736,11082.814746
62,1090,0.018460,-21,0.960957,902687,11243.055592
63,1012,0.019117,-21,0.960451,913652,11386.910410
64,1250,0.017214,-20,0.959826,927471,11575.767743
65,1476,0.015062,-20,0.959088,945033,11813.852575
66,1163,0.018074,-20,0.958507,957730,11986.162168
67,1336,0.015612,-20,0.957839,972558,12187.722581
68,1167,0.017467,-20,0.957255,986684,12379.355041
69,1307,0.016785,-20,0.956601,1002202,12591.347936
70,1377,0.015429,-20,0.955913,1016381,12779.602930
71,1228,0.016328,-20,0.955299,1030227,12969.988366
72,1306,0.015857,-20,0.954646,1046075,13188.361893
73,1270,0.016513,-20,0.954011,1061029,13390.535756
74,1135,0.017580,-21,0.953443,1073423,13557.773399
75,1214,0.015328,-21,0.952836,1085410,13717.097172
76,1428,0.016747,-18,0.952122,1102362,13949.097393
77,1011,0.019586,-21,0.951617,1115185,14122.879780
78,1160,0.018044,-20,0.951037,1127685,14294.489646
79,1236,0.016048,-21,0.950419,1140320,14464.832751
80,1326,0.016208,-19,0.949756,1153913,14651.157674
81,1009,0.019471,-21,0.949252,1164937,14802.730515
82,1132,0.018586,-20,0.948685,1176832,14969.026959
83,1100,0.017872,-20,0.948136,1189427,15143.482879
84,1140,0.016255,-21,0.947566,1203023,15329.089988
85,1150,0.017161,-20,0.946990,1216311,15511.534367
86,1393,0.016203,-20,0.946294,1232494,15736.900438
87,1244,0.016241,-20,0.945672,1247427,15939.121554
88,1299,0.015536,-21,0.945022,1259675,16106.053084
89,1019,0.019444,-21,0.944513,1271450,16271.067860
90,1295,0.015047,-20,0.943866,1286565,16481.391588
91,1265,0.016810,-20,0.943233,1299541,16660.141918
92,1048,0.016962,-21,0.942709,1310876,16817.330074
93,1364,0.016330,-19,0.942027,1325063,17011.949653
94,1326,0.014756,-19,0.941364,1340455,17225.159249
95,1265,0.016675,-21,0.940732,1352919,17394.439504
96,1141,0.015009,-20,0.940161,1363772,17544.438441
97,1112,0.016671,-21,0.939605,1375198,17699.621106
98,1244,0.017742,-19,0.938983,1389485,17891.906798
99,1431,0.015547,-20,0.938268,1404232,18094.825201
100,1021,0.018698,-21,0.937757,1414466,18237.648907
101,1316,0.016261,-20,0.937099,1428871,18441.425764
102,1208,0.016135,-20,0.936495,1441726,18615.602121
