episode,loss,reward,eps
197,0.006194,-21,0.774316
198,0.006901,-19,0.772933
199,0.006772,-19,0.771532
200,0.006238,-18,0.770029
201,0.006711,-21,0.768903
202,0.006300,-21,0.767894
203,0.006374,-20,0.766580
204,0.006492,-18,0.765239
205,0.006544,-19,0.763853
206,0.006486,-21,0.762759
207,0.006438,-21,0.761707
208,0.006229,-19,0.760184
209,0.006412,-18,0.758663
210,0.006503,-20,0.757373
211,0.006432,-19,0.756034
212,0.006554,-17,0.754517
213,0.006864,-20,0.753235
214,0.006412,-19,0.751928
215,0.006467,-21,0.750832
216,0.006620,-19,0.749277
217,0.006301,-19,0.747871
218,0.006704,-21,0.746678
219,0.006608,-20,0.745459
220,0.006497,-20,0.744091
221,0.006295,-20,0.742909
222,0.006158,-18,0.741190
223,0.006397,-20,0.740079
224,0.006283,-17,0.738415
225,0.006486,-21,0.737289
226,0.006273,-19,0.735929
227,0.006352,-17,0.734280
228,0.006468,-19,0.732629
229,0.006253,-19,0.731173
230,0.006461,-19,0.729662
231,0.006788,-20,0.728490
232,0.006410,-18,0.726875
233,0.007023,-20,0.725686
234,0.006520,-17,0.724062
235,0.006417,-17,0.722250
236,0.006319,-19,0.720940
237,0.006174,-20,0.719718
238,0.006987,-18,0.718120
239,0.006457,-19,0.716683
240,0.006404,-17,0.715110
241,0.006184,-19,0.713472
242,0.006471,-20,0.712037
243,0.006419,-18,0.710305
244,0.006602,-20,0.709095
245,0.006652,-19,0.707780
246,0.006325,-20,0.706348
247,0.006490,-17,0.704442
248,0.006542,-18,0.702602
249,0.006247,-19,0.701022
250,0.006480,-20,0.699669
251,0.006302,-19,0.698251
252,0.006366,-16,0.696499
253,0.006604,-19,0.695186
254,0.006482,-21,0.693899
255,0.006552,-18,0.692339
256,0.006544,-20,0.690989
257,0.006334,-20,0.689343
258,0.006583,-20,0.688118
259,0.006503,-19,0.686678
260,0.006470,-20,0.685388
261,0.006817,-20,0.684033
262,0.006411,-20,0.682592
263,0.006244,-16,0.680899
264,0.006449,-17,0.678984
265,0.006926,-16,0.677435
266,0.006866,-19,0.675719
267,0.006486,-18,0.674385
268,0.006581,-18,0.672984
269,0.006244,-16,0.671270
270,0.006456,-21,0.669945
271,0.006377,-21,0.668689
272,0.006204,-19,0.667177
273,0.006723,-19,0.665879
274,0.006549,-19,0.664144
275,0.006394,-18,0.662718
276,0.006695,-17,0.661073
277,0.006162,-18,0.659435
278,0.006368,-20,0.658035
279,0.006599,-19,0.656510
280,0.007111,-19,0.654962
281,0.006196,-17,0.653424
282,0.006539,-19,0.651342
283,0.006251,-16,0.649438
284,0.006413,-20,0.648266
285,0.006225,-18,0.646688
286,0.006177,-20,0.645233
287,0.006443,-18,0.643469
288,0.006708,-18,0.641786
289,0.006232,-18,0.640328
290,0.006459,-17,0.638527
291,0.006054,-18,0.637068
292,0.006111,-20,0.635518
293,0.006541,-19,0.634001
294,0.006293,-17,0.632329
295,0.006156,-20,0.631066
296,0.006423,-16,0.629051
297,0.006483,-19,0.627497
298,0.006179,-20,0.625989
299,0.006247,-18,0.624569
300,0.006196,-17,0.623170
301,0.006093,-18,0.621615
302,0.006789,-19,0.620285
303,0.006223,-18,0.618802
304,0.006148,-17,0.617122
305,0.006084,-18,0.615229
306,0.006350,-18,0.613445
307,0.006300,-19,0.611660
308,0.005766,-17,0.610231
309,0.006363,-21,0.608984
310,0.006231,-18,0.607537
311,0.006189,-21,0.606546
312,0.006104,-18,0.604678
313,0.006022,-19,0.603381
314,0.006254,-17,0.601673
315,0.006228,-21,0.600350
316,0.006448,-20,0.598985
317,0.006331,-20,0.597565
318,0.006064,-19,0.595895
319,0.006007,-20,0.594574
320,0.006454,-19,0.593294
321,0.006202,-15,0.591479
322,0.006261,-20,0.589961
323,0.005995,-19,0.588630
324,0.006150,-19,0.587177
325,0.006189,-21,0.585645
326,0.006129,-20,0.583992
327,0.006242,-16,0.582141
328,0.006080,-18,0.580350
329,0.006203,-21,0.579057
330,0.006211,-20,0.577424
331,0.006053,-20,0.576113
332,0.006178,-21,0.574718
333,0.006260,-18,0.572733
334,0.005756,-20,0.571370
335,0.006085,-20,0.569777
336,0.006043,-20,0.568452
337,0.006498,-19,0.566975
338,0.006267,-20,0.565705
339,0.006149,-20,0.564260
340,0.006058,-19,0.562586
341,0.006220,-17,0.560907
342,0.006072,-17,0.559064
343,0.006379,-19,0.557786
344,0.006136,-19,0.556241
345,0.005957,-20,0.554977
346,0.005959,-17,0.553287
347,0.006340,-19,0.551870
348,0.006356,-19,0.550468
349,0.006191,-19,0.549005
350,0.006114,-20,0.547613
351,0.006132,-18,0.545974
352,0.006353,-20,0.544608
353,0.006082,-16,0.542663
354,0.006246,-18,0.541345
355,0.006279,-17,0.539844
356,0.006199,-19,0.538379
357,0.006582,-17,0.536700
358,0.006170,-19,0.535324
359,0.006090,-19,0.533990
360,0.005781,-19,0.532571
361,0.006629,-20,0.531304
362,0.006034,-18,0.529907
363,0.005862,-20,0.528558
364,0.006103,-19,0.527045
365,0.005880,-19,0.525647
366,0.005964,-21,0.524416
367,0.006054,-19,0.523251
368,0.005664,-15,0.521481
369,0.005827,-18,0.520178
370,0.006321,-19,0.518567
371,0.006044,-20,0.517174
372,0.006063,-19,0.515449
373,0.006036,-19,0.514128
374,0.006162,-20,0.512898
375,0.005849,-21,0.511556
376,0.006459,-19,0.510110
377,0.005921,-19,0.508708
378,0.006171,-19,0.507403
379,0.005719,-18,0.505826
380,0.006263,-20,0.504434
381,0.005971,-18,0.502714
382,0.005973,-19,0.501376
383,0.005831,-21,0.500116
384,0.005817,-20,0.498886
385,0.006457,-20,0.497427
386,0.005882,-19,0.495905
387,0.006189,-19,0.494271
388,0.006054,-17,0.492618
389,0.006027,-17,0.491117
390,0.006366,-19,0.489166
391,0.005774,-18,0.487193
392,0.006249,-21,0.486177
393,0.006122,-20,0.484800
394,0.006283,-18,0.482916
395,0.005881,-19,0.481562
396,0.005941,-20,0.480442
397,0.006152,-21,0.479136
398,0.005672,-18,0.477599
399,0.006315,-17,0.476134
400,0.006266,-19,0.474445
401,0.006001,-16,0.472746
402,0.006411,-18,0.470973
403,0.006319,-20,0.469526
404,0.006362,-19,0.467804
405,0.006498,-16,0.466146
406,0.005921,-16,0.463932
407,0.006235,-21,0.462743
408,0.006157,-17,0.461099
409,0.006401,-19,0.459748
410,0.006560,-20,0.458419
411,0.005936,-15,0.456348
412,0.006352,-16,0.454433
413,0.006077,-20,0.453048
414,0.006142,-16,0.451369
415,0.006185,-20,0.450051
416,0.006190,-20,0.448794
417,0.006318,-19,0.447308
418,0.006399,-19,0.445466
419,0.006372,-16,0.443384
420,0.006341,-19,0.441693
421,0.006058,-18,0.439585
422,0.006426,-17,0.437899
423,0.006242,-17,0.436129
424,0.006178,-17,0.434266
425,0.006281,-19,0.432545
426,0.006167,-17,0.430706
427,0.006132,-18,0.429073
428,0.006019,-18,0.427426
429,0.006312,-18,0.425799
430,0.006228,-18,0.423965
431,0.006433,-15,0.421877
432,0.006000,-19,0.420071
433,0.006322,-17,0.418397
434,0.006357,-17,0.416420
435,0.006035,-13,0.414129
436,0.006321,-18,0.412622
437,0.006048,-18,0.411102
438,0.006113,-16,0.409291
439,0.006277,-14,0.406831
440,0.006277,-20,0.405251
441,0.006235,-17,0.403480
442,0.006066,-20,0.402301
443,0.005957,-18,0.400370
444,0.005905,-16,0.398180
445,0.006180,-14,0.396104
446,0.005747,-15,0.394183
447,0.005959,-16,0.391859
448,0.006358,-18,0.390214
449,0.005986,-17,0.388715
450,0.006281,-14,0.386834
451,0.005955,-20,0.385336
452,0.006279,-19,0.383667
453,0.006088,-19,0.382024
454,0.006234,-17,0.380294
