episode,num_iters,loss,sum_rewards,curr_eps,debug_param,time
1,1331,0.016804,-21,0.998683,15893,180.009536
2,1228,0.018006,-21,0.997468,29372,327.933036
3,1085,0.019473,-21,0.996393,41961,469.022421
4,1049,0.020091,-21,0.995355,54112,603.971440
5,1125,0.018583,-21,0.994241,67678,754.817157
6,1368,0.016190,-20,0.992887,84670,941.896785
7,1296,0.017935,-19,0.991604,102010,1135.049733
8,1371,0.016902,-19,0.990247,121220,1348.337007
9,1209,0.018256,-20,0.989050,139291,1541.487382
10,1321,0.015855,-21,0.987742,158820,1767.001201
11,1186,0.017662,-21,0.986568,176757,1968.402360
12,1560,0.013461,-21,0.985023,197878,2207.462543
13,1192,0.018440,-20,0.983843,214865,2399.700893
14,1371,0.016801,-19,0.982486,233306,2606.846633
15,1385,0.015837,-20,0.981115,247725,2772.666327
16,1221,0.018023,-20,0.979906,262663,2946.773544
17,1242,0.018518,-19,0.978676,274567,3083.915160
18,1112,0.019716,-20,0.977576,286872,3225.800190
19,1321,0.017431,-19,0.976268,300476,3379.918619
20,1013,0.020581,-21,0.975265,310452,3491.699765
21,1465,0.016456,-18,0.973815,324856,3660.521549
22,1102,0.018872,-21,0.972724,335570,3782.624151
23,1070,0.019513,-21,0.971664,346613,3908.283798
24,1561,0.014097,-20,0.970119,362874,4092.380476
25,1675,0.014326,-18,0.968461,379498,4292.195834
26,1010,0.020693,-21,0.967461,388780,4406.411115
27,1727,0.013915,-18,0.965751,410175,4663.773569
28,1196,0.017447,-21,0.964567,423075,4825.422444
29,1224,0.017924,-20,0.963355,437252,5000.696032
30,1468,0.015558,-19,0.961902,453684,5208.568265
31,1322,0.016614,-20,0.960593,469822,5413.931134
32,1291,0.017028,-20,0.959315,485946,5625.368743
33,1216,0.017186,-21,0.958111,501206,5825.703196
34,1443,0.015879,-19,0.956683,520307,6074.837998
35,1162,0.017974,-21,0.955532,535304,6272.435268
36,1265,0.017301,-20,0.954280,551808,6487.819507
