episode,num_iters,loss,sum_rewards,curr_eps,debug_param,time
116,1329,0.014737,-21,0.869825,1717579,22387.489070
117,1290,0.015363,-20,0.868664,1732821,22595.274096
118,1066,0.016117,-21,0.867704,1745408,22767.015145
119,1144,0.016696,-21,0.866675,1757954,22938.756399
120,1136,0.014312,-21,0.865652,1770776,23112.213902
121,1525,0.014965,-18,0.864280,1787081,23333.174548
122,1372,0.017893,-18,0.863045,1803471,23558.663155
123,1392,0.016307,-20,0.861792,1819074,23773.821778
124,1215,0.016409,-20,0.860699,1834691,23990.723208
125,1225,0.016236,-20,0.859596,1850542,24204.820334
126,1188,0.014160,-21,0.858527,1862799,24371.866638
127,1182,0.014199,-21,0.857463,1877573,24570.536025
128,1559,0.014660,-17,0.856060,1896006,24820.330914
129,1408,0.015787,-21,0.854793,1911571,25032.703552
130,1294,0.015746,-20,0.853629,1928289,25263.900658
131,1164,0.014787,-21,0.852581,1940613,25431.432689
132,1245,0.015071,-21,0.851460,1955116,25631.450325
133,1259,0.015555,-21,0.850327,1969549,25832.134988
134,1055,0.014037,-21,0.849378,1981796,26000.524312
135,1442,0.016219,-19,0.848080,1999073,26240.858558
136,1104,0.015205,-21,0.847086,2011817,26421.227684
137,1256,0.014369,-20,0.845956,2028739,26656.559328
138,1358,0.014498,-20,0.844734,2045431,26885.663194
139,1486,0.015550,-18,0.843396,2061851,27110.172613
140,1256,0.014142,-21,0.842266,2076190,27305.122669
141,1147,0.014730,-20,0.841234,2090374,27497.472166
142,1237,0.015494,-20,0.840120,2103377,27677.511406
143,1312,0.013902,-20,0.838940,2118705,27886.560679
144,1293,0.014321,-21,0.837776,2135719,28119.814755
145,1412,0.014807,-19,0.836505,2153549,28362.132938
146,1083,0.011571,-21,0.835530,2165529,28524.997279
147,1280,0.013928,-20,0.834378,2179920,28724.449611
148,1273,0.016731,-19,0.833233,2194837,28930.958893
149,1286,0.015682,-20,0.832075,2208797,29120.187082
150,1271,0.013379,-19,0.830931,2223048,29311.761466
151,1089,0.012029,-21,0.829951,2235084,29474.099024
152,1083,0.012513,-21,0.828977,2248867,29663.764437
153,1055,0.011447,-21,0.828027,2260717,29824.919259
154,1252,0.013835,-21,0.826900,2274990,30022.337267
155,1469,0.010559,-21,0.825578,2291293,30245.795742
156,1362,0.013379,-19,0.824352,2304804,30433.950311
157,1201,0.013255,-20,0.823271,2316667,30594.794211
158,1065,0.013415,-21,0.822313,2328133,30749.342665
159,1166,0.013684,-20,0.821264,2342256,30942.344719
160,1411,0.013673,-20,0.819994,2358464,31164.145522
161,1140,0.012077,-20,0.818968,2371826,31348.194790
162,1094,0.012323,-21,0.817983,2383406,31508.702404
163,1034,0.012586,-21,0.817052,2394903,31668.134754
164,1094,0.012869,-21,0.816068,2407999,31848.952466
165,1321,0.013613,-21,0.814879,2423929,32066.794938
166,1565,0.014692,-19,0.813470,2442101,32318.551149
