episode,num_iters,loss,sum_rewards,curr_eps,debug_param,time
1,1381,0.017088,-21,0.998758,16280,184.256572
2,1398,0.016739,-20,0.997500,31633,353.119795
3,1350,0.017903,-19,0.996285,47792,533.058552
4,1366,0.016675,-20,0.995055,64637,720.749058
5,1252,0.019051,-19,0.993929,78809,878.079173
6,1126,0.019078,-21,0.992915,93780,1044.341385
7,1169,0.019232,-20,0.991863,107059,1190.933348
8,1606,0.015255,-18,0.990418,125474,1394.471299
9,1190,0.018841,-20,0.989347,139183,1540.273672
10,1023,0.020902,-21,0.988426,150099,1667.368203
11,1305,0.017996,-19,0.987251,164535,1831.428341
12,1333,0.016685,-20,0.986052,180458,2009.804187
13,1490,0.016414,-18,0.984711,200390,2235.419180
14,1135,0.018666,-21,0.983689,215655,2408.857942
15,1119,0.019827,-20,0.982682,230946,2580.876763
16,1134,0.018530,-21,0.981662,247639,2771.749999
17,1261,0.018387,-19,0.980527,262521,2945.281144
18,1221,0.017361,-21,0.979428,278278,3127.005819
19,1344,0.015720,-21,0.978218,298190,3353.727412
20,1149,0.018180,-21,0.977184,313120,3523.135299
21,1386,0.015937,-20,0.975937,330532,3724.417532
22,1151,0.017744,-21,0.974901,341864,3854.929628
23,1207,0.018010,-20,0.973815,353233,3982.785091
24,1102,0.019051,-21,0.972823,364091,4106.405812
25,1109,0.019602,-20,0.971825,374495,4230.331592
26,1520,0.014308,-20,0.970457,388102,4397.819827
27,1226,0.017177,-21,0.969353,404214,4590.979561
28,1191,0.018466,-20,0.968281,419380,4779.148552
29,1330,0.016522,-20,0.967084,436742,4993.955745
30,1023,0.019998,-21,0.966164,449000,5148.984194
31,1334,0.015536,-21,0.964963,465812,5363.220659
32,1170,0.017526,-21,0.963910,481962,5573.130216
33,1128,0.018461,-21,0.962895,497118,5773.934748
34,1169,0.018446,-20,0.961843,512487,5972.317843
35,1124,0.018360,-21,0.960831,526953,6162.904403
36,1107,0.017963,-21,0.959835,541281,6352.054151
37,1222,0.017571,-20,0.958735,554604,6525.737938
38,1098,0.018527,-21,0.957747,569193,6724.417517
39,1231,0.017514,-20,0.956639,585681,6943.049696
40,1021,0.019512,-21,0.955720,596179,7082.438833
41,1233,0.016746,-21,0.954610,610598,7270.718902
42,1310,0.016503,-20,0.953431,626857,7491.936910
43,1137,0.018424,-20,0.952408,641369,7686.527934
44,1310,0.016965,-19,0.951229,657393,7901.607959
