episode,num_iters,loss,sum_rewards,curr_eps,debug_param,time
1,1644,0.014714,-19,0.998521,19908,223.418411
2,1282,0.018142,-19,0.997367,35505,397.758525
3,1133,0.019547,-20,0.996348,49290,549.960870
4,1841,0.013689,-17,0.994691,71408,796.601502
5,1385,0.017454,-18,0.993444,89632,997.817248
6,1494,0.014813,-20,0.992100,109399,1217.217237
7,1482,0.015627,-19,0.990766,128261,1424.558463
8,1075,0.019493,-21,0.989799,140607,1556.700267
9,1236,0.017824,-20,0.988686,158534,1764.127287
10,1011,0.020671,-21,0.987776,173493,1932.556474
11,1111,0.018837,-21,0.986776,190349,2121.713181
12,1259,0.016610,-21,0.985643,205524,2295.344501
13,1172,0.018709,-20,0.984588,218065,2436.853940
14,1301,0.016957,-20,0.983418,234068,2615.592145
15,1176,0.017955,-21,0.982359,249655,2796.168451
16,1095,0.019088,-21,0.981374,265091,2974.967987
17,1223,0.017085,-21,0.980273,281404,3163.263260
18,1254,0.017514,-20,0.979144,296333,3333.421601
19,1165,0.017893,-21,0.978096,309666,3483.133053
20,1224,0.016991,-21,0.976994,325855,3672.490648
21,1297,0.016105,-21,0.975827,342379,3861.245093
22,1339,0.016403,-20,0.974622,361884,4081.070552
23,1156,0.018897,-20,0.973581,378333,4278.030142
24,1385,0.015808,-20,0.972335,396486,4497.871235
25,1086,0.019210,-21,0.971357,409250,4652.722040
26,1402,0.015615,-20,0.970096,427440,4880.500085
27,1226,0.017863,-20,0.968992,443300,5076.980983
28,1132,0.019368,-20,0.967974,455097,5226.384171
29,1091,0.019059,-21,0.966992,467543,5384.934058
30,1517,0.014455,-20,0.965626,483419,5592.677515
31,1319,0.016577,-20,0.964439,498290,5789.378383
32,1285,0.017904,-19,0.963283,510819,5951.316985
33,1216,0.017167,-21,0.962188,524007,6123.570097
34,1152,0.018991,-20,0.961152,536268,6286.033107
35,1054,0.019703,-21,0.960203,547794,6435.858043
36,1146,0.018969,-20,0.959171,559160,6587.937346
37,1169,0.017678,-21,0.958119,571804,6759.502627
38,1208,0.017171,-21,0.957032,585194,6936.760212
39,1112,0.019491,-20,0.956031,597198,7096.301144
40,1230,0.017613,-20,0.954924,610179,7265.775495
