episode,num_iters,loss,sum_rewards,curr_eps,debug_param,time
1,1474,0.018271,-19,0.998542,18184,205.096364
2,1186,0.019043,-21,0.997368,31773,355.150950
3,1345,0.017491,-20,0.996036,48392,540.118846
4,1266,0.018398,-20,0.994783,63393,707.921000
5,1011,0.022261,-21,0.993782,75865,845.590900
6,1173,0.019636,-20,0.992621,87616,974.936473
7,1145,0.019069,-21,0.991487,99849,1111.349389
8,1103,0.019732,-21,0.990395,111535,1241.020837
9,1374,0.016468,-20,0.989035,125712,1397.638798
10,1182,0.017964,-21,0.987865,137264,1519.752030
11,1556,0.015147,-19,0.986324,153931,1712.031699
12,1132,0.018802,-21,0.985203,166920,1858.521044
13,1018,0.020831,-21,0.984196,179727,2002.017660
14,1112,0.019019,-21,0.983095,194331,2167.145601
15,1170,0.018166,-21,0.981936,210254,2349.021351
16,1209,0.018479,-20,0.980740,228107,2550.115422
17,1339,0.016632,-20,0.979414,246071,2753.635026
18,1199,0.018503,-20,0.978227,261735,2937.249170
19,1299,0.016312,-21,0.976941,278822,3133.958153
20,1114,0.019895,-20,0.975838,295264,3321.522097
21,1161,0.018284,-21,0.974689,311017,3498.904983
22,1107,0.019062,-21,0.973593,325280,3665.834405
23,1470,0.014462,-21,0.972137,342636,3864.296819
24,1602,0.014545,-19,0.970551,359598,4054.493115
25,1214,0.018156,-20,0.969350,375027,4237.586485
26,1454,0.015288,-20,0.967910,393142,4458.934746
27,1179,0.017981,-21,0.966743,406895,4624.313322
28,1067,0.019603,-21,0.965687,419852,4785.964966
29,1334,0.017438,-19,0.964366,436508,4991.460667
30,1027,0.020359,-21,0.963349,449202,5151.995841
31,1101,0.019195,-21,0.962259,463449,5332.005672
32,1256,0.018382,-19,0.961016,476684,5504.411578
33,1123,0.018397,-21,0.959904,489320,5670.768056
34,1326,0.016652,-20,0.958591,502842,5846.355354
35,1150,0.018183,-21,0.957453,516858,6030.490258
36,1160,0.018879,-20,0.956304,529754,6200.827704
37,1013,0.020408,-21,0.955302,540540,6343.104253
38,1161,0.018008,-21,0.954152,554149,6519.955284
39,1307,0.016540,-20,0.952858,573274,6778.678516
40,1053,0.019364,-21,0.951816,587110,6962.294002
41,1274,0.017664,-19,0.950554,603194,7176.633109
42,1321,0.017362,-19,0.949247,622024,7426.268629
43,1308,0.016611,-20,0.947952,641571,7689.574778
