episode,num_iters,loss,sum_rewards,curr_eps,len_experience,time
1,1255,0.013497,-20,0.998871,1255,36.733069
2,1180,0.016916,-21,0.997809,2435,73.971145
3,1326,0.016393,-20,0.996616,3761,120.531741
4,1073,0.015589,-21,0.995650,4834,159.796967
5,1269,0.015870,-19,0.994508,6103,209.571583
6,1138,0.015653,-21,0.993484,7241,257.188513
7,1095,0.014502,-21,0.992498,8336,305.761320
8,1115,0.011806,-21,0.991495,9451,358.182757
9,1171,0.010770,-21,0.990441,10622,419.137672
10,1214,0.009973,-21,0.989348,11836,482.740604
11,1538,0.009896,-18,0.987964,13374,574.000051
12,1319,0.010331,-19,0.986777,14693,657.793295
13,1278,0.010626,-20,0.985627,15971,740.276918
14,1120,0.009715,-21,0.984619,17091,815.722897
15,1233,0.009662,-20,0.983509,18324,904.579856
16,1244,0.009339,-21,0.982390,19568,999.706101
17,1272,0.010557,-20,0.981245,20840,1104.717691
18,1096,0.010504,-21,0.980259,21936,1196.982943
19,1098,0.010325,-21,0.979270,23034,1292.712332
20,1238,0.009457,-20,0.978156,24272,1400.386680
21,1248,0.009448,-19,0.977033,25520,1510.399533
22,1140,0.009133,-21,0.976007,26660,1613.388999
23,1241,0.009826,-21,0.974890,27901,1729.718342
24,1180,0.009379,-20,0.973828,29081,1845.891763
25,1526,0.009928,-17,0.972455,30607,1996.303235
26,1118,0.009593,-20,0.971448,31725,2112.856021
27,1227,0.008872,-21,0.970344,32952,2243.003679
28,1584,0.008770,-19,0.968919,34536,2414.279315
29,1380,0.009078,-20,0.967677,35916,2568.952792
30,1015,0.009392,-21,0.966763,36931,2687.394124
31,1299,0.008822,-21,0.965594,38230,2839.836144
32,1163,0.008411,-20,0.964547,39393,2980.173738
33,1108,0.009241,-21,0.963550,40501,3118.017866
34,1282,0.009200,-21,0.962396,41783,3282.904125
35,1241,0.008502,-21,0.961279,43024,3446.495516
36,1208,0.008712,-19,0.960192,44232,3608.238285
37,1455,0.008559,-19,0.958883,45687,3808.443922
38,1186,0.008898,-21,0.957815,46873,3977.380113
39,1186,0.009013,-20,0.956748,48059,4149.182324
40,1439,0.009348,-19,0.955453,49498,4363.320136
41,1203,0.009185,-20,0.954370,50701,4549.385424
42,1125,0.008836,-21,0.953357,51826,4727.290244
43,1332,0.009095,-21,0.952159,53158,4943.722112
44,1039,0.007999,-21,0.951224,54197,5116.814765
45,1094,0.008812,-21,0.950239,55291,5301.159665
46,1644,0.009019,-18,0.948759,56935,5586.270154
47,1078,0.009014,-21,0.947789,58013,5783.573838
48,1252,0.008558,-20,0.946662,59265,6015.846741
49,1135,0.009055,-21,0.945641,60400,6230.195056
50,1330,0.009027,-19,0.944444,61730,6484.949606
51,1412,0.008252,-19,0.943173,63142,6757.581482
52,1293,0.008700,-20,0.942009,64435,7004.874688
53,1605,0.008625,-18,0.940565,66040,7316.297871
54,1260,0.008255,-21,0.939431,67300,7567.538900
55,1094,0.008788,-21,0.938446,68394,7789.095380
56,1003,0.008495,-21,0.937544,69397,7991.471775
57,1206,0.009111,-21,0.936458,70603,8243.371303
58,1237,0.009023,-20,0.935345,71840,8509.747526
59,1495,0.009001,-19,0.933999,73335,8835.751019
60,1071,0.008701,-21,0.933036,74406,9066.335758
61,1298,0.008523,-20,0.931867,75704,9358.906665
62,1154,0.008990,-21,0.930829,76858,9623.456918
63,1052,0.008406,-21,0.929882,77910,9868.501616
64,1183,0.008657,-20,0.928817,79093,10148.468401
65,1233,0.008688,-20,0.927708,80326,10449.397787
66,1099,0.009037,-21,0.926718,81425,10723.127821
67,1169,0.009060,-21,0.925666,82594,11019.323295
68,1402,0.008452,-19,0.924404,83996,11382.785662
69,1355,0.008812,-21,0.923185,85351,11738.943409
70,1345,0.008717,-20,0.921975,86696,12094.487171
71,1276,0.008667,-19,0.920826,87972,12441.592183
72,1198,0.008709,-20,0.919748,89170,12772.226800
73,1513,0.009016,-20,0.918386,90683,13201.436623
74,1134,0.009076,-21,0.917366,91817,13533.063801
75,1158,0.008657,-21,0.916323,92975,13867.742787
76,1142,0.009160,-21,0.915296,94117,14205.972173
77,1129,0.009091,-21,0.914280,95246,14546.851144
78,1202,0.008919,-21,0.913198,96448,14912.686442
79,1274,0.008771,-20,0.912051,97722,15309.571802
80,1298,0.008859,-21,0.910883,99020,15721.140583
81,1149,0.008996,-20,0.909849,100169,16092.060147
82,1064,0.009525,-21,0.908891,101233,16437.614936
83,1292,0.009331,-20,0.907728,102525,16868.252523
84,1137,0.008829,-21,0.906705,103662,17253.070988
85,1319,0.008949,-20,0.905518,104981,17705.810737
86,1232,0.008777,-21,0.904409,106213,18135.359037
87,1198,0.009353,-20,0.903331,107411,18560.086270
88,1131,0.008111,-20,0.902313,108542,18966.001737
89,1134,0.009053,-21,0.901293,109676,19377.505528
90,1219,0.008873,-20,0.900195,110895,19827.684135
91,1270,0.009448,-20,0.899052,112165,20303.690261
92,1294,0.008585,-20,0.897888,113459,20796.647444
93,1173,0.008660,-20,0.896832,114632,21252.147728
94,1456,0.008409,-19,0.895522,116088,21828.011195
95,1119,0.009414,-21,0.894515,117207,22274.503643
96,1186,0.009005,-20,0.893447,118393,22754.818826
97,1367,0.009383,-21,0.892217,119760,23315.083531
98,1670,0.009507,-20,0.890714,121430,24010.443258
99,1309,0.008361,-19,0.889536,122739,24564.370124
100,1398,0.008944,-19,0.888278,124137,25161.329596
101,1041,0.009109,-21,0.887341,125178,25601.118892
102,1470,0.008698,-20,0.886018,126648,26248.449147
103,1271,0.008880,-20,0.884874,127919,26802.275175
104,1235,0.008882,-21,0.883762,129154,27349.301642
105,1160,0.009136,-21,0.882718,130314,27873.394186
106,1010,0.009009,-21,0.881809,131324,28344.747418
107,1349,0.009494,-20,0.880595,132673,28984.679270
108,1078,0.008731,-21,0.879625,133751,29501.365040
109,1137,0.008395,-21,0.878602,134888,30057.960676
110,1357,0.008245,-20,0.877380,136245,30719.456912
111,1304,0.009422,-21,0.876207,137549,31368.260927
112,1464,0.008698,-18,0.874889,139013,32110.448387
113,1160,0.008922,-21,0.873845,140173,32705.387016
114,1109,0.009116,-20,0.872847,141282,33278.047057
115,1259,0.009470,-20,0.871714,142541,33927.511612
116,1210,0.008018,-21,0.870625,143751,34569.825175
117,1182,0.008922,-21,0.869561,144933,35203.116778
118,1226,0.009699,-21,0.868458,146159,35867.767050
119,1137,0.008344,-21,0.867434,147296,36494.783043
120,1531,0.008741,-19,0.866057,148827,37319.892828
121,1136,0.009697,-21,0.865034,149963,37941.372492
122,1356,0.009054,-19,0.863814,151319,38716.119466
123,1254,0.008908,-20,0.862685,152573,39419.757703
124,1399,0.008812,-20,0.861426,153972,40241.084516
125,1360,0.008833,-21,0.860202,155332,41047.941894
126,1330,0.009110,-20,0.859005,156662,41847.719727
127,1301,0.008893,-19,0.857834,157963,42638.713230
128,1133,0.009487,-21,0.856815,159096,43336.308406
129,1140,0.008774,-21,0.855788,160236,44045.962007
130,1212,0.009112,-21,0.854698,161448,44808.504826
131,1118,0.008291,-20,0.853692,162566,45525.838719
132,1498,0.008930,-17,0.852343,164064,46492.005846
133,1334,0.008664,-19,0.851143,165398,47356.082350
134,1079,0.008866,-21,0.850172,166477,48075.687001
135,1335,0.008874,-19,0.848970,167812,48969.763864
136,1180,0.008075,-21,0.847908,168992,49756.220849
137,1348,0.008716,-20,0.846695,170340,50682.249486
138,1361,0.008785,-21,0.845470,171701,51625.536509
139,1234,0.008857,-20,0.844359,172935,52490.217852
140,1275,0.008559,-21,0.843212,174210,53384.448829
141,1417,0.008523,-19,0.841937,175627,54398.267184
142,1409,0.008518,-20,0.840669,177036,55419.290948
143,1869,0.008868,-16,0.838986,178905,56790.849671
144,1100,0.008769,-21,0.837996,180005,57608.411525
145,1302,0.009156,-20,0.836825,181307,58583.430450
146,1337,0.008707,-19,0.835621,182644,59597.151150
147,1350,0.008922,-18,0.834406,183994,60629.536446
148,1268,0.008769,-19,0.833265,185262,61612.585506
149,1115,0.008949,-20,0.832262,186377,62458.873640
150,1271,0.008529,-20,0.831118,187648,63441.001818
151,1282,0.008448,-21,0.829964,188930,64459.434221
152,1492,0.008883,-21,0.828621,190422,65659.397374
153,1211,0.008682,-20,0.827531,191633,66646.955871
154,1388,0.008888,-19,0.826282,193021,67793.239364
155,1556,0.009075,-20,0.824882,194577,69093.277115
156,1750,0.008873,-18,0.823307,196327,70579.153905
157,1578,0.008395,-19,0.821886,197905,71937.250257
158,1188,0.009085,-21,0.820817,199093,72963.830865
159,1312,0.008988,-21,0.819636,200405,74115.813577
160,1593,0.009082,-19,0.818203,201998,75538.887089
161,1309,0.008562,-20,0.817025,203307,76721.016036
162,1182,0.008573,-20,0.815961,204489,77797.975198
163,1341,0.008718,-21,0.814754,205830,78990.693896
164,1284,0.008611,-20,0.813598,207114,80184.108166
165,1373,0.008582,-18,0.812363,208487,81476.324437
166,1240,0.008077,-20,0.811247,209727,82660.436520
167,1211,0.008926,-21,0.810157,210938,83826.453383
168,1355,0.008973,-21,0.808937,212293,85111.057710
169,1292,0.008592,-21,0.807774,213585,86372.932111
170,1279,0.008760,-21,0.806623,214864,87640.199901
171,1265,0.008229,-20,0.805485,216129,88899.868364
172,1405,0.008560,-21,0.804220,217534,90269.085053
173,1394,0.008707,-20,0.802966,218928,91646.364272
174,1456,0.008303,-20,0.801655,220384,93132.340252
175,1196,0.008370,-21,0.800579,221580,94356.025706
176,1303,0.009231,-19,0.799406,222883,95677.534324
177,1186,0.008485,-21,0.798339,224069,96902.568157
178,1577,0.008439,-19,0.796920,225646,98549.927109
179,1370,0.008153,-20,0.795686,227016,100031.889915
180,1526,0.008222,-19,0.794313,228542,101654.981625
181,1384,0.008952,-19,0.793068,229926,103187.099256
182,1624,0.008517,-19,0.791606,231550,105000.896929
183,1459,0.008420,-20,0.790293,233009,106647.654953
184,1240,0.007999,-21,0.789177,234249,108033.696599
185,1391,0.008236,-20,0.787925,235640,109643.003927
186,1439,0.008462,-20,0.786630,237079,111309.933009
187,1377,0.008349,-21,0.785390,238456,112909.494824
188,1233,0.008446,-20,0.784281,239689,114370.368002
189,1206,0.008743,-21,0.783195,240895,115812.113746
190,1294,0.008641,-21,0.782031,242189,117348.848502
191,1897,0.008640,-18,0.780323,244086,119621.530281
192,1125,0.008143,-21,0.779311,245211,121009.276629
193,1576,0.008538,-18,0.777893,246787,122941.768228
194,1305,0.008353,-20,0.776718,248092,124583.583630
195,1502,0.008630,-19,0.775366,249594,126466.288423
196,1621,0.008645,-20,0.773907,251215,128548.515525
197,1180,0.008716,-21,0.772845,252395,130069.746107
198,1525,0.008576,-19,0.771473,253920,132064.810103
199,1201,0.008793,-20,0.770392,255121,133661.068443
200,1546,0.007974,-20,0.769001,256667,135727.265628
201,1669,0.008289,-19,0.767498,258336,137965.359875
202,1332,0.008478,-21,0.766300,259668,139785.466158
203,1311,0.008200,-21,0.765120,260979,141549.545527
204,1551,0.008320,-19,0.763724,262530,143657.238025
205,1532,0.008360,-18,0.762345,264062,145786.990676
206,1163,0.008950,-20,0.761298,265225,147421.699110
207,1301,0.008470,-20,0.760127,266526,149266.603316
208,1296,0.008785,-20,0.758961,267822,151068.808669
209,1706,0.008562,-18,0.757426,269528,153517.606650
210,1230,0.008574,-20,0.756319,270758,155298.710937
211,1553,0.008237,-20,0.754921,272311,157586.230837
212,1560,0.008115,-18,0.753517,273871,159881.627151
213,1689,0.008610,-18,0.751997,275560,162395.832902
214,1737,0.008666,-17,0.750434,277297,164932.398267
215,1735,0.008749,-15,0.748872,279032,167515.144617
216,1648,0.008606,-20,0.747389,280680,170016.215812
217,1410,0.008846,-19,0.746120,282090,172154.328445
218,1512,0.008333,-19,0.744759,283602,174484.838604
219,1415,0.008327,-20,0.743486,285017,176681.028861
220,1678,0.008351,-20,0.741975,286695,179329.866449
221,1653,0.008514,-20,0.740488,288348,181946.758000
222,1477,0.009188,-18,0.739158,289825,184310.064485
223,1491,0.009144,-19,0.737816,291316,186709.611560
224,1589,0.008582,-19,0.736386,292905,189230.199863
225,1423,0.009030,-21,0.735106,294328,191535.874320
226,1332,0.008648,-21,0.733907,295660,193714.230949
227,1707,0.008505,-19,0.732371,297367,196550.436816
228,1197,0.009121,-21,0.731293,298564,198516.627064
229,1309,0.007976,-20,0.730115,299873,200675.828108
230,1534,0.008665,-20,0.728735,301407,203225.008347
231,1693,0.008650,-20,0.727211,303100,206140.689931
232,1375,0.008741,-21,0.725973,304475,208467.142006
233,1740,0.008335,-18,0.724407,306215,211510.334213
234,1491,0.008941,-19,0.723065,307706,214121.042204
235,1421,0.008457,-20,0.721787,309127,216643.796153
236,1781,0.008628,-19,0.720184,310908,219850.040557
237,1900,0.008591,-17,0.718474,312808,223323.540277
