episode,num_iters,loss,sum_rewards,curr_eps,debug_param,time
1,1372,0.016379,-21,0.999314,16497,187.270884
2,1272,0.018801,-19,0.998679,34004,380.740019
3,1409,0.016016,-20,0.997974,52081,581.719522
4,1363,0.017158,-19,0.997293,71656,799.511100
5,1461,0.016785,-18,0.996562,90691,1009.864802
6,1257,0.017695,-20,0.995934,106750,1188.048149
7,1241,0.017853,-20,0.995313,124707,1386.667110
8,1306,0.017649,-19,0.994660,145104,1608.970883
9,1088,0.019377,-21,0.994116,159837,1779.076980
10,1167,0.018858,-20,0.993533,176329,1964.579291
11,1010,0.020643,-21,0.993027,189915,2116.987621
12,1085,0.019393,-21,0.992485,205672,2297.334579
13,1211,0.017321,-21,0.991880,223090,2494.573468
14,1160,0.018017,-21,0.991300,235757,2634.826331
15,1112,0.018905,-21,0.990743,248462,2782.064808
16,1174,0.018758,-20,0.990156,261330,2932.796428
17,1148,0.018320,-21,0.989583,275446,3094.617780
18,1089,0.019196,-21,0.989038,286934,3227.107149
19,1109,0.018936,-21,0.988483,298274,3355.245200
20,1212,0.018165,-20,0.987877,311423,3503.871776
21,1339,0.015673,-21,0.987208,327608,3692.341134
22,1242,0.017724,-20,0.986587,342041,3857.681911
23,1332,0.017322,-19,0.985921,357344,4029.151316
24,1279,0.016362,-21,0.985282,373860,4223.328937
25,1330,0.016471,-20,0.984617,390840,4431.984277
26,1360,0.016170,-20,0.983936,405384,4606.142188
27,1096,0.019026,-21,0.983388,418609,4769.933638
28,1217,0.018070,-20,0.982780,432714,4944.620123
29,1116,0.018664,-21,0.982222,444568,5092.910833
30,1066,0.019603,-21,0.981689,456498,5243.419620
31,1550,0.015524,-18,0.980914,474755,5480.122472
32,1211,0.018131,-20,0.980309,489846,5677.795772
33,1281,0.017003,-20,0.979668,505195,5876.405976
34,1043,0.020048,-21,0.979147,517129,6033.962367
35,1175,0.017672,-21,0.978559,531169,6219.703137
36,1555,0.015448,-18,0.977781,549409,6457.176393
37,1035,0.020147,-21,0.977264,560986,6613.125459
38,1634,0.015342,-17,0.976447,579848,6866.509039
39,1628,0.014738,-18,0.975633,598232,7110.674940
40,1664,0.013844,-19,0.974801,616557,7351.349819
41,1291,0.017808,-19,0.974155,631752,7557.328414
42,1201,0.017331,-21,0.973555,645245,7738.204786
43,1545,0.014831,-19,0.972782,663759,7988.143598
44,1323,0.016537,-20,0.972121,679201,8189.776139
45,1283,0.017087,-20,0.971480,694243,8396.278087
46,1180,0.017657,-21,0.970889,708351,8588.135982
47,1185,0.018489,-20,0.970297,722397,8780.293497
48,1014,0.020559,-21,0.969790,734372,8943.433048
49,1417,0.016899,-18,0.969082,750746,9166.300575
50,1153,0.018942,-20,0.968505,764253,9348.456116
51,1348,0.017026,-19,0.967831,781090,9578.033150
52,1220,0.017101,-21,0.967221,795419,9771.124837
53,1088,0.019140,-21,0.966677,809383,9957.177820
54,1328,0.017242,-19,0.966013,825537,10173.972485
55,1264,0.017262,-20,0.965381,841019,10387.733708
56,1475,0.016215,-18,0.964643,858737,10635.819672
57,1107,0.018898,-21,0.964090,871884,10819.845597
58,1049,0.019892,-21,0.963565,885044,11003.820129
59,1092,0.019032,-21,0.963020,897948,11180.499747
60,1204,0.018136,-20,0.962418,913397,11383.710919
61,1159,0.018811,-20,0.961838,927846,11581.593414
62,1375,0.016608,-19,0.961151,943536,11793.742712
63,1138,0.018249,-21,0.960581,956667,11972.757597
64,1322,0.017344,-19,0.959920,973161,12196.158946
65,1362,0.016813,-19,0.959240,989388,12416.307396
66,1024,0.020339,-21,0.958727,1001966,12588.203589
67,1233,0.017674,-20,0.958111,1017293,12791.910545
68,1637,0.014625,-18,0.957292,1038417,13082.128302
69,1152,0.018072,-21,0.956716,1053001,13283.624550
70,1058,0.019586,-21,0.956187,1066540,13466.708662
71,1490,0.014698,-20,0.955442,1086016,13725.296356
72,1127,0.018532,-21,0.954879,1100713,13925.663384
73,1136,0.018372,-21,0.954311,1115537,14128.034287
74,1249,0.018295,-19,0.953686,1130713,14335.870945
75,1183,0.018443,-20,0.953095,1145729,14537.632309
76,1203,0.018118,-20,0.952493,1160971,14748.050779
77,1162,0.017869,-21,0.951913,1174923,14943.650908
78,1552,0.016038,-17,0.951137,1193399,15198.539905
79,1218,0.017071,-21,0.950527,1208308,15403.491978
80,1176,0.017662,-21,0.949940,1222906,15603.660510
81,1147,0.018121,-21,0.949366,1237293,15801.670157
82,1127,0.019303,-20,0.948802,1251295,15992.128331
83,1331,0.017179,-19,0.948137,1268050,16223.839104
84,1368,0.015173,-21,0.947453,1284755,16456.414385
85,1241,0.017565,-20,0.946832,1299615,16661.383250
86,1106,0.018729,-21,0.946280,1313764,16856.734677
87,1357,0.016833,-19,0.945601,1330549,17087.983304
88,1358,0.016867,-19,0.944922,1348368,17333.789047
89,1353,0.016123,-20,0.944245,1364504,17554.184800
90,1284,0.016968,-20,0.943604,1381066,17777.523332
91,1370,0.015880,-20,0.942918,1399128,18022.867153
92,1102,0.018812,-21,0.942368,1413019,18218.022958
93,1260,0.017289,-20,0.941738,1430273,18461.091810
94,1281,0.016258,-21,0.941097,1446820,18684.537205
95,1440,0.014452,-21,0.940377,1465501,18943.023705
96,1239,0.016809,-21,0.939758,1481674,19166.743689
97,1134,0.018277,-21,0.939191,1496061,19359.569632
98,1298,0.016807,-20,0.938542,1512119,19579.108840
99,1226,0.016932,-21,0.937929,1527895,19798.689982
100,1129,0.018352,-21,0.937364,1542029,19992.928023
101,1251,0.018276,-19,0.936739,1558411,20216.066899
102,1235,0.017658,-20,0.936121,1574262,20432.375242
103,1225,0.016931,-21,0.935508,1588804,20624.745869
104,1075,0.019305,-21,0.934971,1602875,20816.080125
