episode,num_iters,loss,sum_rewards,curr_eps,debug_param,time
1,1238,0.021512,-20,0.998887,15199,172.906416
2,1360,0.017826,-20,0.997663,31358,350.566510
3,1197,0.018850,-21,0.996585,47030,525.475716
4,1271,0.018567,-20,0.995441,60114,672.064592
5,1489,0.017296,-18,0.994101,73684,821.735011
6,1433,0.016788,-19,0.992812,87702,976.000663
7,1194,0.019378,-20,0.991737,100214,1115.618175
8,1178,0.019239,-20,0.990677,113819,1266.633840
9,1225,0.018289,-20,0.989574,126976,1411.128008
10,1277,0.017700,-20,0.988425,140528,1556.112538
11,1374,0.016324,-20,0.987189,157108,1748.261599
12,1183,0.018014,-21,0.986124,172272,1919.170383
13,1308,0.016239,-21,0.984947,189542,2112.580340
14,1268,0.016810,-21,0.983805,203616,2273.545952
15,1418,0.016380,-19,0.982529,217634,2432.145528
16,1181,0.018912,-20,0.981466,232597,2599.677365
17,1030,0.020571,-21,0.980539,243409,2722.409643
18,1068,0.019917,-21,0.979578,255558,2866.405673
19,1147,0.018413,-21,0.978546,269566,3026.709281
20,1275,0.017516,-20,0.977398,285285,3208.623570
21,1709,0.015400,-16,0.975860,306873,3453.031118
22,1527,0.014483,-20,0.974486,324626,3658.435399
23,1300,0.016895,-20,0.973316,342999,3868.609347
24,1272,0.017449,-20,0.972171,358887,4046.650480
25,1349,0.017017,-19,0.970957,375228,4240.202720
26,1189,0.017218,-21,0.969887,390383,4426.434820
27,1104,0.018662,-21,0.968893,402476,4570.200710
28,1148,0.018757,-20,0.967860,415585,4731.645925
29,1357,0.016557,-19,0.966639,432095,4936.782314
30,1116,0.018794,-20,0.965634,446245,5113.768662
31,1045,0.019173,-21,0.964694,458925,5273.875014
32,1294,0.016152,-21,0.963529,477049,5509.302898
33,1262,0.017284,-20,0.962394,492243,5710.004822
34,1200,0.017798,-20,0.961314,507402,5905.942708
35,1131,0.018211,-21,0.960296,521471,6090.850278
36,1193,0.017293,-21,0.959222,535778,6279.292268
37,1168,0.018210,-20,0.958171,549400,6457.049451
38,1215,0.016605,-21,0.957077,565292,6672.086949
39,1376,0.015857,-20,0.955839,581736,6891.865675
40,1507,0.013778,-21,0.954483,603191,7176.717268
41,1919,0.014069,-15,0.952755,625023,7467.374652
42,1097,0.018682,-21,0.951768,637389,7634.125895
43,1271,0.016618,-20,0.950624,653389,7848.306599
44,1300,0.016732,-20,0.949454,670443,8076.404075
45,1249,0.017057,-20,0.948330,685561,8275.100825
46,1522,0.014776,-19,0.946960,702659,8513.344441
47,1282,0.016670,-20,0.945806,718305,8723.903475
48,1383,0.016441,-19,0.944562,737091,8980.198992
49,1091,0.018386,-21,0.943580,749951,9155.440462
50,1229,0.017239,-20,0.942474,763520,9338.858975
51,1105,0.017744,-21,0.941479,775008,9495.435503
52,1113,0.017795,-21,0.940478,788450,9679.339705
53,1523,0.015087,-18,0.939107,807285,9928.500334
54,1013,0.019412,-21,0.938195,818243,10074.552012
55,1005,0.018959,-21,0.937291,829944,10235.501935
56,1391,0.015737,-20,0.936039,846659,10466.454981
57,1379,0.015550,-20,0.934798,863165,10698.970907
58,1436,0.015532,-19,0.933505,878737,10915.615015
59,1170,0.016493,-21,0.932452,891621,11094.891222
60,1139,0.017707,-20,0.931427,905341,11278.837346
61,1023,0.017455,-21,0.930507,916455,11424.023219
62,1094,0.016432,-21,0.929522,929027,11597.834407
63,1137,0.016281,-21,0.928499,941595,11768.572441
64,1284,0.015547,-21,0.927343,956115,11965.466380
65,1271,0.016334,-20,0.926199,969411,12145.720794
66,1193,0.016159,-20,0.925125,984437,12349.425519
67,1453,0.016409,-18,0.923818,1000626,12570.064096
68,1564,0.013696,-19,0.922410,1019749,12826.222889
69,1084,0.017731,-21,0.921434,1032415,13000.822670
70,1074,0.017268,-21,0.920468,1045072,13175.221119
71,1090,0.016166,-21,0.919487,1056252,13327.224794
72,1270,0.014309,-21,0.918344,1071137,13526.694167
73,1245,0.014849,-21,0.917223,1084901,13710.501220
74,1302,0.016973,-19,0.916052,1100481,13922.696066
75,1748,0.014413,-17,0.914478,1119079,14176.942168
76,1359,0.013305,-21,0.913255,1134585,14388.416891
77,1125,0.015160,-21,0.912243,1146158,14543.624514
78,1021,0.014236,-21,0.911324,1156659,14689.231982
79,1187,0.016434,-21,0.910256,1169959,14874.995681
80,1368,0.014749,-20,0.909024,1184682,15078.304095
81,1100,0.015748,-21,0.908034,1195265,15223.265431
82,1310,0.014691,-21,0.906855,1210127,15428.371603
83,1136,0.014143,-21,0.905833,1222088,15592.229355
84,1374,0.016285,-19,0.904596,1237698,15806.964490
85,1203,0.014702,-21,0.903514,1250740,15984.782126
86,1073,0.014393,-21,0.902548,1262238,16141.363605
87,1061,0.014814,-21,0.901593,1274313,16311.670251
88,1047,0.016972,-21,0.900651,1284916,16458.488448
89,1710,0.015284,-17,0.899112,1303409,16713.487711
90,1159,0.017205,-21,0.898069,1317335,16905.172134
91,1149,0.014191,-21,0.897035,1330226,17083.527535
92,1399,0.015353,-19,0.895775,1346280,17305.720091
93,1366,0.016573,-19,0.894546,1361876,17518.593636
94,1104,0.015573,-20,0.893552,1374379,17689.338430
95,1336,0.014152,-21,0.892350,1388741,17882.036938
96,1414,0.015083,-20,0.891077,1403706,18087.389150
