episode,num_iters,loss,sum_rewards,curr_eps,debug_param,time
1,1296,0.019188,-19,0.998718,16039,182.245449
2,1173,0.019278,-21,0.997557,31892,356.604005
3,1023,0.021102,-21,0.996544,44920,502.837352
4,1265,0.017857,-20,0.995292,61400,686.156676
5,1293,0.017443,-20,0.994011,78912,879.729018
6,1343,0.016636,-20,0.992682,96998,1079.891473
7,1443,0.016153,-19,0.991253,115862,1289.446711
8,1348,0.018168,-18,0.989919,135315,1499.076079
9,1256,0.016640,-21,0.988675,150189,1668.990556
10,1072,0.019568,-21,0.987614,165501,1842.532746
11,1071,0.019620,-21,0.986554,177041,1971.945856
12,1325,0.015969,-21,0.985242,192110,2142.054407
13,1200,0.018437,-20,0.984054,206767,2309.920858
14,1875,0.012394,-19,0.982198,229559,2566.019728
15,1210,0.018232,-20,0.981000,243356,2721.822733
16,1286,0.017191,-20,0.979727,257090,2884.599192
17,1395,0.016594,-19,0.978346,270230,3034.512055
18,1223,0.018053,-20,0.977135,281921,3169.231347
19,1616,0.014267,-19,0.975535,301707,3394.319732
20,1090,0.019285,-21,0.974456,314661,3541.972003
21,1379,0.015928,-20,0.973091,327426,3690.324868
22,1166,0.018080,-21,0.971936,338816,3820.871297
23,1204,0.018316,-20,0.970745,350639,3954.316468
24,1420,0.014794,-21,0.969339,364866,4116.016458
25,1325,0.016615,-20,0.968027,379763,4295.923200
26,1155,0.018996,-20,0.966884,391332,4437.655758
27,1142,0.019263,-20,0.965753,407049,4626.240172
28,1013,0.020701,-21,0.964750,420213,4790.780489
29,1296,0.017808,-19,0.963467,433515,4954.403357
30,1306,0.016018,-21,0.962174,449273,5153.008642
31,1146,0.018338,-21,0.961040,461462,5305.859692
32,1338,0.016488,-20,0.959715,475188,5485.442756
33,1278,0.016408,-21,0.958450,489854,5677.923177
34,1136,0.018486,-21,0.957325,502994,5848.308655
35,1112,0.018753,-21,0.956224,515159,6008.300031
36,1647,0.014649,-18,0.954594,534714,6265.317568
37,1280,0.017209,-20,0.953326,550693,6473.675032
38,1127,0.018472,-21,0.952211,563720,6650.415247
39,1195,0.018408,-20,0.951028,577741,6838.275728
40,1079,0.019410,-21,0.949959,590614,7008.715965
41,1378,0.016663,-19,0.948595,607027,7225.266297
42,1359,0.016227,-20,0.947250,622143,7428.064575
43,1175,0.017774,-21,0.946087,636160,7617.345454
44,1252,0.017545,-20,0.944847,651660,7824.557736
45,1088,0.019170,-21,0.943770,664786,8001.219957
46,1424,0.016152,-19,0.942360,681664,8222.254622
47,1123,0.019526,-20,0.941248,694484,8399.648463
48,1065,0.019627,-21,0.940194,706603,8564.350708
49,1188,0.017655,-21,0.939018,720583,8755.049404
50,1269,0.017282,-20,0.937762,736100,8966.587390
51,1266,0.017208,-20,0.936508,751638,9178.100823
52,1239,0.017694,-20,0.935282,766665,9380.340187
53,1241,0.017634,-20,0.934053,781581,9584.454442
54,1008,0.020604,-21,0.933055,794257,9756.031057
55,1106,0.018823,-21,0.931960,808151,9940.928762
56,1114,0.018680,-21,0.930857,821555,10118.816561
57,1234,0.017797,-20,0.929636,837118,10334.386264
58,1246,0.016740,-21,0.928402,853380,10560.981088
59,1349,0.016250,-20,0.927067,869952,10793.101486
60,1381,0.015852,-20,0.925700,887960,11045.252733
61,1022,0.020378,-21,0.924688,900865,11219.122767
62,1380,0.016608,-19,0.923322,920126,11473.631250
63,1216,0.017104,-21,0.922118,935300,11682.583941
64,1022,0.020377,-21,0.921106,948623,11863.315616
65,1029,0.020364,-21,0.920087,962131,12048.430032
66,1165,0.018771,-20,0.918934,976981,12248.704884
67,1013,0.020584,-21,0.917931,988969,12410.782374
68,1236,0.016779,-21,0.916707,1003750,12612.876214
69,1248,0.017504,-20,0.915472,1018615,12810.525823
70,1221,0.017887,-20,0.914263,1033353,13013.707378
71,1255,0.016482,-21,0.913021,1049945,13242.219289
72,1159,0.018867,-20,0.911873,1065756,13456.279565
73,1226,0.017815,-20,0.910659,1081144,13660.917868
74,1145,0.018183,-21,0.909526,1095843,13859.986690
75,1245,0.016716,-21,0.908293,1110740,14061.472076
76,1021,0.020353,-21,0.907283,1124176,14246.927317
77,1183,0.018439,-20,0.906111,1138299,14438.783788
78,1106,0.018667,-21,0.905016,1152107,14625.575672
79,1173,0.018600,-20,0.903855,1167814,14844.458149
80,1077,0.019177,-21,0.902789,1181799,15037.560610
81,1057,0.019684,-21,0.901743,1195657,15228.472764
82,1173,0.017705,-21,0.900581,1210665,15435.644602
83,1258,0.016570,-21,0.899336,1227167,15663.253279
84,1572,0.015167,-18,0.897780,1246894,15932.002045
85,1038,0.020004,-21,0.896752,1260303,16114.567814
86,1258,0.016529,-21,0.895506,1274902,16319.623385
87,1348,0.015444,-21,0.894172,1293084,16571.335292
88,1116,0.019510,-20,0.893067,1306667,16759.358527
89,1645,0.013317,-20,0.891439,1326811,17036.684297
90,1189,0.018400,-20,0.890261,1341506,17239.737399
91,1126,0.018434,-21,0.889147,1355164,17426.349624
92,1133,0.018318,-21,0.888025,1368534,17609.562035
93,1130,0.018399,-21,0.886906,1382115,17791.577837
94,1186,0.018374,-20,0.885732,1397405,17999.148211
