episode,num_iters,loss,sum_rewards,curr_eps,debug_param,time
1,1330,0.019879,-21,0.998684,15437,175.129507
2,1060,0.022436,-21,0.997635,29247,326.879533
3,1134,0.020333,-21,0.996512,42766,478.259677
4,1182,0.020152,-20,0.995342,56759,634.173426
5,1086,0.021794,-21,0.994267,70994,791.965201
6,1694,0.014204,-20,0.992590,89507,996.421437
7,1241,0.018969,-21,0.991361,104005,1157.285590
8,1063,0.021297,-21,0.990309,116448,1295.781707
9,1125,0.020656,-20,0.989195,129661,1439.035446
10,1123,0.019849,-21,0.988083,141725,1569.217554
11,1228,0.017920,-21,0.986868,152709,1698.183952
12,1152,0.020403,-20,0.985727,163462,1819.386120
13,1169,0.018699,-21,0.984570,174574,1944.740144
14,1112,0.020719,-20,0.983469,184676,2056.918060
15,1262,0.017337,-21,0.982220,198634,2216.065649
16,1108,0.019641,-21,0.981123,210548,2351.956167
17,1039,0.020878,-21,0.980094,221518,2476.055546
18,1273,0.017677,-20,0.978834,233777,2612.265879
19,1091,0.019733,-21,0.977754,244583,2735.794422
20,1071,0.019941,-21,0.976693,258051,2895.485089
21,1340,0.016715,-20,0.975367,272911,3065.431349
22,1465,0.015317,-20,0.973916,287368,3231.680908
23,1106,0.019257,-21,0.972822,298976,3363.012815
24,1300,0.017138,-20,0.971535,311918,3509.253485
25,1299,0.017260,-20,0.970249,326939,3684.515234
26,1249,0.017010,-21,0.969012,343474,3873.504340
27,1424,0.016430,-19,0.967602,361976,4082.088876
28,1436,0.016292,-19,0.966181,379736,4295.311309
29,1225,0.017271,-21,0.964968,394099,4469.803153
30,1480,0.016482,-18,0.963503,411457,4679.696487
31,1217,0.017424,-21,0.962298,424751,4846.628376
32,1345,0.015829,-21,0.960966,438976,5022.387246
33,1224,0.018153,-20,0.959755,451440,5180.281665
34,1178,0.018845,-20,0.958588,464487,5346.043166
35,1237,0.017063,-21,0.957364,478676,5530.769395
36,1178,0.017953,-21,0.956197,491666,5701.646288
37,1171,0.018037,-21,0.955038,505976,5885.985347
38,1259,0.016803,-21,0.953792,520471,6077.327660
39,1160,0.018145,-21,0.952643,533136,6244.568774
40,1147,0.018331,-21,0.951508,546155,6413.898085
41,1210,0.018392,-20,0.950310,559451,6591.785571
42,1339,0.015781,-21,0.948984,575171,6803.784710
43,1312,0.016935,-20,0.947685,590988,7013.475632
44,1249,0.018383,-19,0.946449,605076,7200.300734
45,1337,0.017393,-19,0.945125,620742,7408.520275
46,1336,0.015832,-21,0.943803,636204,7617.619799
47,1202,0.018404,-20,0.942613,650028,7801.805773
48,1186,0.018708,-20,0.941439,664621,7998.863981
49,1287,0.018019,-19,0.940164,680100,8201.525585
50,1009,0.020878,-21,0.939165,692479,8371.138309
51,1276,0.016516,-21,0.937902,708467,8589.274616
52,1163,0.018049,-21,0.936751,722696,8784.147713
53,1164,0.018038,-21,0.935599,736549,8972.647418
54,1286,0.017244,-20,0.934325,752752,9193.402757
55,1085,0.019322,-21,0.933251,766184,9373.525616
56,1399,0.015833,-20,0.931866,782302,9593.928510
57,1102,0.019080,-21,0.930775,795176,9767.551903
58,1360,0.015470,-21,0.929429,812118,9993.367812
59,1302,0.016166,-21,0.928140,828404,10213.930749
60,1256,0.017506,-20,0.926896,843586,10423.350186
61,1275,0.016447,-21,0.925634,860226,10656.654860
62,1227,0.017914,-20,0.924419,874382,10855.379205
63,1265,0.017466,-20,0.923167,890685,11082.089154
64,1262,0.016639,-21,0.921918,905987,11286.820451
65,1299,0.017004,-20,0.920632,922639,11507.369596
66,1182,0.017790,-21,0.919462,936281,11696.114091
67,1412,0.017048,-18,0.918064,952812,11920.574112
68,1422,0.016242,-19,0.916656,970533,12160.541210
69,1017,0.020593,-21,0.915649,983008,12330.560375
70,1414,0.017067,-18,0.914249,1001105,12576.042029
71,1109,0.018885,-21,0.913151,1015267,12765.394849
72,1209,0.018103,-20,0.911954,1030738,12976.754415
73,1271,0.016569,-21,0.910696,1045597,13182.174653
74,1334,0.017283,-19,0.909375,1062261,13407.671199
75,1327,0.017412,-19,0.908062,1078193,13621.594288
76,1228,0.017876,-20,0.906846,1094702,13843.468972
77,1216,0.017212,-21,0.905642,1110702,14060.680447
78,1252,0.017555,-20,0.904403,1127439,14291.105524
79,1110,0.019752,-20,0.903304,1142014,14487.694738
80,1282,0.017177,-20,0.902035,1158408,14712.292880
81,1089,0.019180,-21,0.900956,1172599,14911.696125
82,1167,0.017984,-21,0.899801,1187540,15117.359456
83,1267,0.016539,-21,0.898547,1204245,15346.192601
84,1056,0.019799,-21,0.897501,1218352,15539.686138
85,1131,0.019348,-20,0.896382,1232503,15736.988716
86,1060,0.019696,-21,0.895332,1246182,15921.999072
87,1250,0.017578,-20,0.894095,1261534,16131.422228
88,1141,0.018301,-21,0.892965,1275246,16323.944741
89,1012,0.020617,-21,0.891963,1287648,16496.688008
90,1121,0.019596,-20,0.890853,1302740,16704.007025
91,1437,0.016059,-19,0.889431,1320947,16954.696930
92,1527,0.016356,-17,0.887919,1340149,17220.765644
93,1144,0.018366,-21,0.886787,1354295,17413.972662
94,1124,0.018594,-21,0.885674,1368678,17611.169319
95,1020,0.020448,-21,0.884664,1381834,17787.568531
96,1266,0.017311,-20,0.883411,1398444,18013.455126
97,1191,0.018393,-20,0.882232,1413145,18219.202601
98,1413,0.015590,-20,0.880833,1431117,18472.134812
99,1230,0.017866,-20,0.879615,1447193,18689.076949
100,1341,0.017128,-19,0.878287,1464317,18926.256282
101,1010,0.020645,-21,0.877288,1477231,19105.939529
102,1026,0.020263,-21,0.876272,1489887,19277.156288
103,1191,0.017485,-21,0.875093,1505625,19489.532059
104,1022,0.020387,-21,0.874081,1518384,19665.100145
105,1286,0.016995,-20,0.872808,1533836,19879.673092
106,1281,0.017910,-19,0.871540,1548704,20083.854546
107,1338,0.017963,-18,0.870215,1565416,20310.349993
108,1059,0.019756,-21,0.869167,1579944,20506.294739
109,1090,0.019112,-21,0.868087,1594606,20703.788575
110,1260,0.017370,-20,0.866840,1608894,20897.187330
111,1452,0.015788,-19,0.865403,1627940,21156.234066
112,1204,0.018144,-20,0.864211,1643745,21375.100654
